"Schlagwort","Durchschnittliche Seitenzahl","Anzahl Der Konkurrenten","Durchschnittspreis","Durchschnittliches Monatliches Einkommen","Geschätzte Amazon-suchanfragen Pro Monat","Amazon Searches/Month Color","Schwierigkeitsgrad Der Konkurrenz","Competitive Score Color"
"tirol heimatroman","232","361","11 €","74 €","<50","Red",1,"Green"
"liebesroman tirol","208","273","10 €","196 €","<50","Red",1,"Green"
"historischer roman tirol","528","275","12 €","328 €","<50","Red",1,"Green"
"liebesromane tirol","209","255","11 €","50 €","<50","Red",1,"Green"
"historische romane tirol","529","321","12 €","30 €","<50","Red",1,"Green"
"romane tirol","243","2.000","17 €","85 €","<50","Red",20,"Green"
"familienroman südtirol","378","219","13 €","181 €","<50","Red",1,"Green"
"heimatroman","424","6.000","6 €","22 €","<50","Red",42,"Yellow"
"mythen tirol","225","168","18 €","44 €","<50","Red",1,"Green"
"sommerroman südtirol","132","260","26 €","51 €","<50","Red",29,"Green"
"true crime tirol","187","259","14 €","189 €","<50","Red",20,"Green"
"prime reading heimatroman","356","124","10 €","228 €","<50","Red",1,"Green"
"liebesroman südtirol","321","113","9 €","10 €","<50","Red",20,"Green"
"historischer roman südtirol","292","233","15 €","113 €","<50","Red",1,"Green"
"liebesroman heimatroman","290","5.000","6 €","161 €","123","Red",53,"Yellow"
"südtirol roman","355","1.000","12 €","632 €","<50","Red",15,"Green"
"südtirol romane","342","1.000","12 €","138 €","<50","Red",20,"Green"
"small-town liebesroman","370","50.000","2 €","205 €","289","Red",65,"Yellow"
"small town liebesroman","307","50.000","2 €","45 €","174","Red",36,"Green"
"südtirolromane","342","1.000","12 €","212 €","<50","Red",40,"Green"
"liebesroman thill","462","48","12 €","9 €","<50","Red",1,"Green"
"romane südtirol","326","1.000","13 €","159 €","<50","Red",15,"Green"
"hörbuch heimatroman","6","38","12 €","623 €","165","Red",25,"Green"