"Title","Subtitle","Review Score","Ratings","Author","Age","ABSR","# Of Pages","KWT","Price","DY Sales","MO Sales","Sales Page"
"Wachsame Wacht für Willow","süße kleinstadt romance",4.2,5,"ann omasta",60,308488,235,"No","4,99 €","0 €","50 €","https://www.amazon.de/Wachsame-Wacht-Willow-Kleinstadt-Romance-Wohlf%C3%BChl-Liebesroman-ebook/dp/B0GBZWFT6M"
"Ein verwöhnter Erbe und andere Ärgernisse","eine cozy kleinstadt romance (die schnulzen-schwestern und die liebe 2)",5,3,"lissy könig",86,117881,270,"No","3,99 €","0 €","80 €","https://www.amazon.de/verw%C3%B6hnter-andere-%C3%84rgernisse-Kleinstadt-Romance-Schnulzen-Schwestern-ebook/dp/B0G3CXZ85W"
"Defending a Promise","kleinstadtromance – die schwester seines besten freundes – beschützerromanze (die hibiscus harbor-welt 3)",,,"annie carlisle",-17,132224,217,"Yes","6,99 €","0 €","133 €","https://www.amazon.de/Defending-Promise-Kleinstadtromance-Besch%C3%BCtzerromanze-Hibiscus-Harbor-Welt-ebook/dp/B0GKJ5MNVL"
"Zweite Chancen und andere Schnapsideen","eine cozy kleinstadt romance (die schnulzen-schwestern und die liebe 3)",5,3,"lissy könig",23,117375,261,"No","3,99 €","0 €","80 €","https://www.amazon.de/Zweite-Chancen-andere-Schnapsideen-Schnulzen-Schwestern-ebook/dp/B0G3GDRDLG"
"Fake Dating und andere (Not-)Lügen","eine cozy kleinstadt romance (die schnulzen-schwestern und die liebe 1)",4.2,8,"lissy könig",112,63588,251,"No","3,99 €","0 €","7 €","https://www.amazon.de/Dating-andere-L%C3%BCgen-Kleinstadt-Romance-Schnulzen-Schwestern-ebook/dp/B0FXV8CR96"
"Falling for Gage. Unerwartet nah","roman | tiktok made me buy it",4.5,31,"mia sheridan",141,85527,385,"No","9,99 €","1 €","13 €","https://www.amazon.de/Falling-Gage-Unerwartet-Pelion-Kleinstadt-Romance-ebook/dp/B0F3PGZTM7"
"Under Our Stars","berührend emotionale kleinstadt-romance (townbridge love 1)",4.7,78,"ronja sova",362,163545,418,"No","5,87 €","0 €","100 €","https://www.amazon.de/Under-Our-Stars-Ber%C3%BChrend-emotionale-Kleinstadt-Romance-ebook/dp/B0DMM637GS"
"Zwischen den Zeilen","ein feinde zu-liebende kleinstadt-romance (romanze)",3.8,12,"allard gelmers",231,707283,232,"No","3,99 €","0 €","4 €","https://www.amazon.de/Zwischen-den-Zeilen-Feinde-zu-Liebende-Kleinstadt-Romance-ebook/dp/B0F2SKGMXF"
"Ein schottischer Buchladen zum Verlieben","roman (isle of mull 1)",4.1,219,"emma bishop",721,448,438,"No","8,99 €","307 €","7.063 €","https://www.amazon.de/Ein-schottischer-Buchladen-zum-Verlieben-ebook/dp/B0C3FZG4MV"
"Schneegestöber im kleinen Katzencafé","roman | cosy kleinstadt romance mit winterlicher atmosphäre | für fans von »meet me in autumn« und den romanen von sarah morgan",4.1,19,"rachel rowlands",178,350972,353,"No","10,99 €","0 €","88 €","https://www.amazon.de/Schneegest%C3%B6ber-kleinen-Katzencaf%C3%A9-Kleinstadt-Romance-winterlicher-ebook/dp/B0DZY3LRHZ"